Категория;Подкатегория;НаименованиеКолекции;Бренд;Гарантия;Страна;Внимание;КраткоеОписание;Код;НазваниеРазмера;Цена1;Цена2;Цена3;Цвет;H;V;D;СкладРазмера
Грунтосмеси;для комнатных растений;Полесский субстрат Декор-лиственный;RICH LAND;Нет;;Нет;;000000922;Полесский субстрат Декор-лиственный 5л;19;19;19;без цвета;;;;есть в наличии
Грунтосмеси;Универсальные;Полесский субстрат Универсальный;RICH LAND;Нет;;Нет;;000000923;Полесский субстрат Универсальный 10л;33;33;33;без цвета;;;;есть в наличии
Грунтосмеси;Универсальные;Полесский субстрат Универсальный;RICH LAND;Нет;;Нет;;000000924;Полесский субстрат Универсальный 20л;57;57;57;без цвета;;;;есть в наличии
Грунтосмеси;Для орхидей;Санремо субстрат Орхидея;RICH LAND;Нет;;Нет;;000000925;Санремо субстрат Орхидея 3л;30;30;30;без цвета;;3;;Ожидается
Грунтосмеси;Для декоративно-лиственных;Санремо субстрат Декор-лиственный;RICH LAND;Нет;;Нет;;000000926;Санремо субстрат Декор-лиственный 3л;10;10;10;без цвета;;3;;Ожидается
Грунтосмеси;Для декоративно-лиственных;Санремо субстрат Декор-лиственный;RICH LAND;Нет;;Нет;;000000927;Санремо субстрат Декор-лиственный 7л;20;20;20;без цвета;;;;Ожидается
Удобрения;для комнатных растений;Стимовит 0,5 для цветущих;RICH LAND;Нет;Украина;Нет;;000000935;Стимовит 0,5 для цветущих;15;15;15;без цвета;;0,5;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 универсальное;RICH LAND;Нет;Украина;Нет;;000000936;Стимовит 0,5 универсальное;15;15;15;без цвета;;0,5;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 для орхидей;RICH LAND;Нет;Украина;Нет;;000000937;Стимовит 0,5 для орхидей;15;15;15;без цвета;;0,5;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 для пальм, юкк и драцен;RICH LAND;Нет;Украина;Нет;;000000938;Стимовит 0,5 для пальм, юкк и драцен;15;15;15;без цвета;;0,5;;Ожидается
Удобрения;для комнатных растений;Стимовит 0,5 для фиалок;RICH LAND;Нет;Украина;Нет;;000000939;Стимовит 0,5 для фиалок;15;15;15;без цвета;;0,5;;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000954;Горшок Магнолия 13*15*1,3 шелк, белый,керамика;118;118;118;белый;13;1,3;15;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000955;Горшок Магнолия 16*19*2,5 шелк,белый керамика;152;152;152;белый;16;2,5;18;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000956;Горшок Магнолия 13*15*1,3 шелк, шоколад,керамика;118;118;118;шоколад;13;1,3;15;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000957;Горшок Магнолия 16*19*2,5 шелк,шоколад,керамика;152;152;152;шоколад;16;2,5;18;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000959;Горшок Магнолия 13*15*1,3 шелк, красный,керамика;118;118;118;красный;13;1,3;15;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000960;Горшок Магнолия 13*15*1,3 шелк, розовый,керамика;118;118;118;розовый;13;1,3;15;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000961;Горшок Магнолия 16*19*2,5 шелк,красный,керамика;152;152;152;красный;16;2,5;18;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000962;Горшок Магнолия 16*19*2,5 шелк,розовый,керамика;152;152;152;розовый;16;2,5;18;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000963;Горшок Магнолия 13*15*1,3 шелк, черный,керамика;118;118;118;черный;13;1,3;15;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000964;Горшок Магнолия 16*19*2,5 шелк,черный,керамика;152;152;152;черный;16;2,5;18;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 TURBO ;RICH LAND;Нет;Украина;Нет;;000000965;Стимовит 0,5 TURBO ;23;23;23;без цвета;;0,5;;Ожидается
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000971;Горшок Магнолия 13*15*1,3 шелк, салат,керамика;118;118;118;салат;13;1,3;15;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000973;Горшок Магнолия 13*15*1,3 шелк, серый,керамика;118;118;118;серый;13;1,3;15;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000974;Горшок Магнолия 16*19*2,5 шелк,салат,керамика;152;152;152;салат;16;2,5;18;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000975;Горшок Магнолия 16*19*2,5 шелк,серый,керамика;152;152;152;серый;16;2,5;18;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000983;Горшок Магнолия 20*18*3,0 шелк,красный,керамика;202;202;202;красный;20;3;19;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;Артикул бил изменен 10921669;000000984;Горшок Магнолия 20*18*3,0 шелк,белый,керамика;202;202;202;белый;20;3;19;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000989;Горшок Магнолия 16*19*2,5 шелк,беж,керамика;152;152;152;бежевый;16;2,5;18;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000990;Горшок Магнолия 13*15*1,3 шелк, беж,керамика;118;118;118;бежевый;13;1,3;15;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000991;Горшок Магнолия 20*18*3,0 шелк,шоколад,керамика;202;202;202;шоколад;20;3;19;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000992;Горшок Магнолия 20*18*3,0 шелк,беж,керамика;202;202;202;бежевый;20;3;19;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000993;Горшок Магнолия 20*18*3,0 шелк,розовый,керамика;202;202;202;розовый;20;3;19;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000994;Горшок Магнолия 20*18*3,0 шелк,салат,керамика;202;202;202;салат;20;3;19;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000995;Горшок Магнолия 20*18*3,0 шелк,серый,керамика;202;202;202;серый;20;3;19;есть в наличии
Однотонная керамика;шелк;Колекция Магнолия шелк;Shapovalov;Нет;;Нет;;000000996;Горшок Магнолия 20*18*3,0 шелк,черный,керамика;202;202;202;черный;20;3;19;есть в наличии
Однотонная керамика;глянец;Колекция Плошка глянец;Каменный цветок;Нет;;Нет;;000001086;Горшок Плошка 12*30*6 глянец белый,керамика;426;426;426;белый;12;5,6;310;есть в наличии
Однотонная керамика;глянец;Колекция Плошка глянец;Каменный цветок;Нет;;Нет;;000001087;Горшок Плошка 12*30*6 глянец беж,керамика;426;426;426;бежевый;12;5,6;310;есть в наличии
Однотонная керамика;глянец;Колекция Плошка глянец;Каменный цветок;Нет;;Нет;;000001088;Горшок Плошка 12*30*6 глянец шоколад,керамика;426;426;426;шоколад;12;5,6;310;Ожидается
Однотонная керамика;глянец;Колекция Плошка глянец;Каменный цветок;Нет;;Нет;;000001089;Горшок Плошка 12*30*6 глянец красный,керамика;426;426;426;красный;12;5,6;310;есть в наличии
Однотонная керамика;перламутр;Колекция Плошка перламутр;Каменный цветок;Нет;;Нет;;000001090;Горшок Плошка 12*30*6 люкс персик,керамика;426;426;426;персик;12;5,6;310;есть в наличии
Однотонная керамика;перламутр;Колекция Плошка перламутр;Каменный цветок;Нет;;Нет;;000001091;Горшок Плошка 12*30*6 люкс салат,керамика;426;426;426;салат;12;5,6;310;есть в наличии
Однотонная керамика;перламутр;Колекция Плошка перламутр;Каменный цветок;Нет;;Нет;;000001092;Горшок Плошка 12*30*6 люкс серебро,керамика;426;426;426;серебро;14;5,6;310;Ожидается
Однотонная керамика;глянец;Колекция Бокарнейница глянец;Каменный цветок;Нет;;Нет;;000001093;Горшок Бокарнейница 21*32*8 глянец белый,керамика;532;532;532;белый;;7,4;320;есть в наличии
Однотонная керамика;глянец;Колекция Бокарнейница глянец;Каменный цветок;Нет;;Нет;;000001094;Горшок Бокарнейница 21*32*8 глянец беж,керамика;532;532;532;бежевый;;7,4;320;есть в наличии
Однотонная керамика;глянец;Колекция Бокарнейница глянец;Каменный цветок;Нет;;Нет;;000001095;Горшок Бокарнейница 21*32*8 глянец шоколад,керамика;532;532;532;шоколад;;7,4;320;есть в наличии
Однотонная керамика;глянец;Колекция Бокарнейница глянец;Каменный цветок;Нет;;Нет;;000001096;Горшок Бокарнейница 21*32*8 глянец красный,керамика;532;532;532;красный;;7,4;320;есть в наличии
Однотонная керамика;перламутр;Колекция Бокарнейница перламутр;Каменный цветок;Нет;;Нет;;000001097;Горшок Бокарнейница 21*32*8 люкс персик,керамика;532;532;532;персик;;7,4;320;Ожидается
Однотонная керамика;перламутр;Колекция Бокарнейница перламутр;Каменный цветок;Нет;;Нет;;000001098;Горшок Бокарнейница 21*32*8 люкс салат,керамика;532;532;532;салат;;7,4;320;Ожидается
Однотонная керамика;перламутр;Колекция Бокарнейница перламутр;Каменный цветок;Нет;;Нет;;000001099;Горшок Бокарнейница 21*32*8  люкс серебро,керамика;532;532;532;серебро;;7,4;320;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001157;Горшок Виктория 10 *11*0,25 глянец беж,керамика;60;60;60;бежевый;95;0,4;110;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001158;Горшок Виктория 10 *11*0,25 глянец шоколад,керамика;60;60;60;шоколад;95;0,4;110;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001159;Горшок Виктория 13*12*1,0 глянец беж,керамика;73;73;73;бежевый;105;0,7;125;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001160;Горшок Виктория 13*12*1,0 глянец белый,керамика;73;73;73;белый;105;0,7;125;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001161;Горшок Виктория 13*12*1,0 глянец фиолет,керамика;73;73;73;фиолетовый;105;0,7;125;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001162;Горшок Виктория 13*12*1,0 глянец желтый,керамика;73;73;73;желтый;105;0,7;125;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001163;Горшок Виктория 13*12*1,0 глянец зеленый,керамика;73;73;73;зеленый;105;0,4;125;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001164;Горшок Виктория 13*12*1,0 глянец оранж,керамика;73;73;73;оранжевый;105;0,7;125;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001166;Горшок Виктория 13*12*1,0 глянец красный,керамика;73;73;73;красный;105;0,7;125;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001167;Горшок Виктория 13*12*1,0 глянец шокодад,керамика;73;73;73;шоколад;105;0,7;125;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001168;Горшок Виктория 13*12*1,0 люкс персик, керамика;73;73;73;персик;105;0,7;125;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001169;Горшок Виктория 13*12*1,0 люкс салат, керамика;73;73;73;салат;105;0,7;125;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001170;Горшок Виктория 13*12*1,0 люкс серебро, керамика;73;73;73;серебро;105;0,7;125;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001171;Горшок Виктория 16*15*1,9 глянец беж,керамика;109;109;109;бежевый;130;1,7;155;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001172;Горшок Виктория 16*15*1,9 глянец белый,керамика;109;109;109;белый;130;1,7;155;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001173;Горшок Виктория 16*15*1,9 глянец фиолет,керамика;109;109;109;фиолетовый;130;1,7;155;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001174;Горшок Виктория 16*15*1,9 глянец желтый,керамика;109;109;109;желтый;130;1,7;155;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001175;Горшок Виктория 16*15*1,9 глянец зеленый,керамика;109;109;109;зеленый;130;1,7;155;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001176;Горшок Виктория 16*15*1,9 глянец оранж,керамика;109;109;109;оранжевый;130;1,7;155;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001178;Горшок Виктория 16*15*1,9 глянец красный,керамика;109;109;109;красный;130;1,7;155;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001179;Горшок Виктория 16*15*1,9 глянец шоколад,керамика;109;109;109;шоколад;130;1,7;155;Ожидается
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001180;Горшок Виктория 16*15*1,8 люкс персик, керамика;109;109;109;персик;130;1,7;155;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001181;Горшок Виктория 16*15*1,8 люкс салат, керамика;109;109;109;салат;130;1,7;155;Ожидается
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001182;Горшок Виктория 16*15*1,8 люкс серебро, керамика;109;109;109;серебро;130;1,7;155;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001183;Горшок Виктория 18*16*2,5 глянец беж,керамика;133;133;133;бежевый;155;2,3;182;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001184;Горшок Виктория 18*16*2,5 глянец белый,керамика;133;133;133;белый;155;2,3;182;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001185;Горшок Виктория 18*16*2,5 глянец фиолет,керамика;133;133;133;фиолетовый;155;2,3;182;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001186;Горшок Виктория 18*16*2,5 глянец желтый,керамика;133;133;133;желтый;155;2,3;182;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001187;Горшок Виктория 18*16*2,5 глянец  зеленый,керамика;133;133;133;зеленый;155;2,3;182;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001188;Горшок Виктория 18*16*2,5 глянец оранж,керамика;133;133;133;оранжевый;155;2,3;182;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001190;Горшок Виктория 18*16*2,5 глянец красный,керамика;133;133;133;красный;155;2,3;182;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001191;Горшок Виктория 18*16*2,5 глянец шоколад,керамика;133;133;133;шоколад;155;2,3;182;Ожидается
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001192;Горшок Виктория 18*16*2,5 люкс персик,керамика;133;133;133;персик;155;2,3;182;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001193;Горшок Виктория 18*16*2,5 люкс салат,керамика;133;133;133;салат;155;2,3;182;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000001194;Горшок Виктория 18*16*2,5 люкс серебро,керамика;133;133;133;серебро;155;2,3;182;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001195;Горшок Виктория 20*18*3,5 глянец беж, керамика;206;206;206;бежевый;178;3,6;205;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001196;Горшок Виктория 20*18*3,5 глянец белый, керамика;206;206;206;белый;178;3,6;205;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001197;Горшок Виктория 20*18*3,5 глянец фиолет, керамика;206;206;206;фиолетовый;178;3,6;205;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001198;Горшок Виктория 20*18*3,5 глянец желтый, керамика;206;206;206;желтый;178;3,6;205;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000001199;Горшок Виктория 20*18*3,5 глянец зеленый, керамика;206;206;206;зеленый;178;3,6;205;есть в наличии
