Категория;Подкатегория;НаименованиеКолекции;Бренд;Гарантия;Страна;Внимание;КраткоеОписание;Код;НазваниеРазмера;Цена1;Цена2;Цена3;Цвет;H;V;D;СкладРазмера
Однотонная керамика;Терракота;Колекция Ирис;ТЕРРА;Нет;Украина;Нет;;000001412;Горшок Ирис 8*7*0,25 керамика;23;23;23;терракота;7;0,25;8;есть в наличии
Однотонная керамика;Терракота;Колекция Жасмин;ТЕРРА;Нет;Украина;Нет;;000001413;Горшок Жасмин 12*9*0,8 керамика;36;36;36;терракота;9;0,8;12;есть в наличии
Однотонная керамика;Терракота;Колекция Барбарис;ТЕРРА;Нет;Украина;Нет;;000001414;Горшок Барбарис 15*16*2,0 керамика;60;60;60;терракота;14;2;15;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000001415;Поддон d 55;6;6;6;терракота;1,5;;5,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Ирис;ТЕРРА;Нет;Украина;Нет;;000001416;Поддон d 85;8;8;8;терракота;2;;8,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000001417;Поддон d 110 ;9;9;9;терракота;2;;11;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Ирис;ТЕРРА;Нет;Украина;Нет;;000001418;Поддон d 125;11;11;11;терракота;2,2;;12,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Ирис;ТЕРРА;Нет;Украина;Нет;;000001419;Поддон d 145;21;21;21;терракота;3;;14,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000001420;Поддон d 175;24;24;24;терракота;3;;17,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000001421;Поддон d 210;36;36;36;терракота;4;;21;есть в наличии
;;;;;;;;000001487;Горшок Сонет 10*10*0,5 желтый серпантин, керамика;37;37;37;;;;;есть в наличии
;;;;;;;;000001488;Горшок Сонет 13*12,5*1,0 желтый серпантин, керамика;57;57;57;;;;;есть в наличии
;;;;;;;;000001489;Горшок Сонет 15*14,5*2,0 желтый серпантин, керамика;74;74;74;;;;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 для сурфинии;RICH LAND;Нет;Украина;Нет;;000001577;Стимовит 0,5 для сурфиний;15;15;15;без цвета;;0,5;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 для декоративно-лиственых растений;RICH LAND;Нет;Украина;Нет;;000001578;Стимовит 0,5 для декоративно-лиственых растений;15;15;15;без цвета;;0,5;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 для овощей;RICH LAND;Нет;Украина;Нет;;000001646;Стимовит 0,5 для овощей;15;15;15;без цвета;;0,5;;Ожидается
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук беж;Терра Декор;Нет;Украина;Нет;;000001652;Горшок гладкий 11,5*10*0,6 бамбук беж керамика;55;55;55;бежевый;10;0,6;11,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук белый;Терра Декор;Нет;Украина;Нет;;000001653;Горшок гладкий 11,5*10*0,6 бамбук белый керамика;55;55;55;белый;10;0,6;11,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь беж;Терра Декор;Нет;Украина;Нет;;000001654;Горшок гладкий 11,5*10*0,6 рябь беж керамика;55;55;55;бежевый;10;0,6;11,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001655;Горшок гладкий 11,5*10*0,6 рябь коричневый керамика;55;55;55;коричневый;10;0,6;11,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь салат;Терра Декор;Нет;Украина;Нет;;000001656;Горшок гладкий 11,5*10*0,6 рябь салат керамика;55;55;55;салат;10;0,6;11,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук беж;Терра Декор;Нет;Украина;Нет;;000001657;Горшок гладкий 13*12*1,1 бамбук беж керамика;71;71;71;бежевый;12;1,1;13;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук белый;Терра Декор;Нет;Украина;Нет;;000001658;Горшок гладкий 13*12*1,1 бамбук белый керамика;71;71;71;белый;12;1,1;13;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь беж;Терра Декор;Нет;Украина;Нет;;000001659;Горшок гладкий 13*12*1,1 рябь беж керамика;71;71;71;бежевый;12;1,1;13;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001660;Горшок гладкий 13*12*1,1 рябь коричневый керамика;71;71;71;коричневый;12;1,1;13;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь салат;Терра Декор;Нет;Украина;Нет;;000001661;Горшок гладкий 13*12*1,1 рябь салат керамика;71;71;71;салат;12;1,1;13;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук беж;Терра Декор;Нет;Украина;Нет;;000001662;Горшок гладкий 15,5*13,5*2,0 бамбук беж керамика;95;95;95;бежевый;13,5;2;15,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук белый;Терра Декор;Нет;Украина;Нет;;000001663;Горшок гладкий 15,5*13,5*2,0 бамбук белый керамика;95;95;95;белый;13,5;2;15,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь беж;Терра Декор;Нет;Украина;Нет;;000001664;Горшок гладкий 15,5*13,5*2,0 рябь беж керамика;95;95;95;бежевый;13,5;2;15,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001665;Горшок гладкий 15,5*13,5*2,0 рябь коричневый керамика;95;95;95;коричневый;13,5;2;15,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь салат;Терра Декор;Нет;Украина;Нет;;000001666;Горшок гладкий 15,5*13,5*2,0 рябь салат керамика;95;95;95;салат;13,5;2;15,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук беж;Терра Декор;Нет;Украина;Нет;;000001667;Горшок гладкий 7,5*7*0,2 бамбук беж керамика;40;40;40;бежевый;7;0,2;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук белый;Терра Декор;Нет;Украина;Нет;;000001668;Горшок гладкий 7,5*7*0,2 бамбук белый керамика;40;40;40;белый;7;0,2;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь беж;Терра Декор;Нет;Украина;Нет;;000001669;Горшок гладкий 7,5*7*0,2 рябь беж керамика;40;40;40;бежевый;7;0,2;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001670;Горшок гладкий 7,5*7*0,2 рябь коричневый керамика;40;40;40;коричневый;7;0,2;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь салат;Терра Декор;Нет;Украина;Нет;;000001671;Горшок гладкий 7,5*7*0,2 рябь салат керамика;40;40;40;салат;7;0,2;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис бамбук беж;Терра Декор;Нет;Украина;Нет;;000001672;Горшок Ирис 11*9,5*0,6 бамбук беж керамика;62;62;62;бежевый;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис бамбук белый;Терра Декор;Нет;Украина;Нет;;000001673;Горшок Ирис 11*9,5*0,6 бамбук белый керамика;62;62;62;белый;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь беж;Терра Декор;Нет;Украина;Нет;;000001674;Горшок Ирис 11*9,5*0,6 рябь беж керамика;62;62;62;бежевый;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001675;Горшок Ирис 11*9,5*0,6 рябь коричневый керамика;62;62;62;коричневый;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь салат;Терра Декор;Нет;Украина;Нет;;000001676;Горшок Ирис 11*9,5*0,6 рябь салат керамика;62;62;62;салат;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис бамбук беж;Терра Декор;Нет;Украина;Нет;;000001677;Горшок Ирис 14*12*1,4 бамбук беж керамика;102;102;102;бежевый;12;1,4;14;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис бамбук белый;Терра Декор;Нет;Украина;Нет;;000001678;Горшок Ирис 14*12*1,4 бамбук белый керамика;102;102;102;белый;12;1,4;14;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь беж;Терра Декор;Нет;Украина;Нет;;000001679;Горшок Ирис 14*12*1,4 рябь беж керамика;102;102;102;бежевый;12;1,4;14;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001680;Горшок Ирис 14*12*1,4 рябь коричневый керамика;102;102;102;коричневый;12;1,4;14;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь салат;Терра Декор;Нет;Украина;Нет;;000001681;Горшок Ирис 14*12*1,4 рябь салат керамика;102;102;102;салат;12;1,4;14;Ожидается
Керамика с росписью;Терра-декор;Колекция Ирис бамбук беж;Терра Декор;Нет;Украина;Нет;;000001682;Горшок Ирис 8*7*0,25 бамбук беж керамика;46;46;46;бежевый;7;0,25;8;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис бамбук белый;Терра Декор;Нет;Украина;Нет;;000001683;Горшок Ирис 8*7*0,25 бамбук белый керамика;46;46;46;белый;7;0,25;8;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь беж;Терра Декор;Нет;Украина;Нет;;000001684;Горшок Ирис 8*7*0,25 рябь беж керамика;46;46;46;бежевый;7;0,25;8;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001685;Горшок Ирис 8*7*0,25 рябь коричневый керамика;46;46;46;коричневый;7;0,25;8;есть в наличии
Керамика с росписью;Терра-декор;Колекция Ирис рябь салат;Терра Декор;Нет;Украина;Нет;;000001686;Горшок Ирис 8*7*0,25 рябь салат керамика;46;46;46;салат;7;0,25;8;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный бамбук беж;Терра Декор;Нет;Украина;Нет;;000001687;Горшок рельефный 11*9,5*0,6 бамбук беж керамика;55;55;55;бежевый;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный бамбук белый;Терра Декор;Нет;Украина;Нет;;000001688;Горшок рельефный 11*9,5*0,6 бамбук белый керамика;55;55;55;белый;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь беж;Терра Декор;Нет;Украина;Нет;;000001689;Горшок рельефный 11*9,5*0,6 рябь беж керамика;55;55;55;бежевый;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001690;Горшок рельефный 11*9,5*0,6 рябь коричневый керамика;55;55;55;коричневый;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь салат;Терра Декор;Нет;Украина;Нет;;000001691;Горшок рельефный 11*9,5*0,6 рябь салат керамика;55;55;55;салат;9,5;0,6;11;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный бамбук беж;Терра Декор;Нет;Украина;Нет;;000001692;Горшок рельефный 16*11,5*1,5 бамбук беж керамика;86;86;86;бежевый;11,5;1,5;16;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный бамбук белый;Терра Декор;Нет;Украина;Нет;;000001693;Горшок рельефный 16*11,5*1,5 бамбук белый керамика;86;86;86;белый;11,5;1,5;16;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь беж;Терра Декор;Нет;Украина;Нет;;000001694;Горшок рельефный 16*11,5*1,5 рябь беж керамика;86;86;86;бежевый;11,5;1,5;16;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001695;Горшок рельефный 16*11,5*1,5 рябь коричневый керамика;86;86;86;коричневый;11,5;1,5;16;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь салат;Терра Декор;Нет;Украина;Нет;;000001696;Горшок рельефный 16*11,5*1,5 рябь салат керамика;86;86;86;салат;11,5;1,5;16;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный бамбук беж;Терра Декор;Нет;Украина;Нет;;000001697;Горшок рельефный 17*13*2,0 бамбук беж керамика;99;99;99;бежевый;13;2;17;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный бамбук белый;Терра Декор;Нет;Украина;Нет;;000001698;Горшок рельефный 17*13*2,0 бамбук белый керамика;99;99;99;белый;13;2;17;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь беж;Терра Декор;Нет;Украина;Нет;;000001699;Горшок рельефный 17*13*2,0 рябь беж керамика;99;99;99;бежевый;13;2;17;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001700;Горшок рельефный 17*13*2,0 рябь коричневый керамика;99;99;99;коричневый;13;2;17;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь салат;Терра Декор;Нет;Украина;Нет;;000001701;Горшок рельефный 17*13*2,0 рябь салат керамика;99;99;99;салат;13;2;17;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный бамбук беж;Терра Декор;Нет;Украина;Нет;;000001702;Горшок рельефный 7,5*6*0,15 бамбук беж керамика;40;40;40;бежевый;6;0,15;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный бамбук белый;Терра Декор;Нет;Украина;Нет;;000001703;Горшок рельефный 7,5*6*0,15 бамбук белый керамика;40;40;40;белый;6;0,15;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь беж;Терра Декор;Нет;Украина;Нет;;000001704;Горшок рельефный 7,5*6*0,15 рябь беж керамика;40;40;40;бежевый;6;0,15;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь коричневый;Терра Декор;Нет;Украина;Нет;;000001705;Горшок рельефный 7,5*6*0,15 рябь коричневый керамика;40;40;40;коричневый;6;0,15;7,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Рельефный рябь салат;Терра Декор;Нет;Украина;Нет;;000001706;Горшок рельефный 7,5*6*0,15 рябь салат керамика;40;40;40;салат;6;0,15;7,5;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло 1 ребро;Веригос;Нет;Украина;Нет;;000001728;Орхидейница стекло 1 ребро, темно-зеленая;0;0;0;темно-зеленый;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло 1 ребро;Веригос;Нет;Украина;Нет;;000001729;Орхидейница стекло 1 ребро, темно-фиолетовая;0;0;0;темно-фиолетовый;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло 1 ребро;Веригос;Нет;Украина;Нет;;000001730;Орхидейница стекло 1 ребро, салат;0;0;0;салат;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло 1 ребро;Веригос;Нет;Украина;Нет;;000001731;Орхидейница стекло 1 ребро, оранжевая;0;0;0;оранжевый;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло 1 ребро;Веригос;Нет;Украина;Нет;;000001732;Орхидейница стекло 1 ребро, прозрачная;0;0;0;Прозрачный;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло 1 ребро;Веригос;Нет;Украина;Нет;;000001733;Орхидейница стекло 1 ребро, желтая;0;0;0;желтый;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло 1 ребро;Веригос;Нет;Украина;Нет;;000001734;Орхидейница стекло 1 ребро, красная;0;0;0;красный;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло гладка;Веригос;Нет;Украина;Нет;;000001735;Орхидейница стекло гладка, фиолетовая;0;0;0;фиолетовый;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло гладка;Веригос;Нет;Украина;Нет;;000001736;Орхидейница стекло гладка, прозрачная;0;0;0;Прозрачный;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло гладка;Веригос;Нет;Украина;Нет;;000001737;Орхидейница стекло гладка, розовая;0;0;0;розовый;16,5;1,2;13;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница Gorshki стекло;Gorshki;Нет;Украина;Нет;;000001742;Орхидейница 13*15*1,0 желтая, стекло;108;108;108;желтый;15;1;13;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница Gorshki стекло;Gorshki;Нет;Украина;Нет;;000001743;Орхидейница 13*15*1,0 салатова, стекло;108;108;108;салат;15;1;13;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница Gorshki стекло;Gorshki;Нет;Украина;Нет;;000001744;Орхидейница 13*15*1,0 фиолетовая, стекло;108;108;108;фиолетовый;15;1;13;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница Gorshki стекло;Gorshki;Нет;Украина;Нет;;000001745;Орхидейница 13*15*1,0 розовая, стекло;108;108;108;розовый;15;1;13;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница Gorshki стекло;Gorshki;Нет;Украина;Нет;;000001746;Орхидейница 13*15*1,0 оранж, стекло;108;108;108;оранжевый;15;1;13;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница Gorshki стекло;Gorshki;Нет;Украина;Нет;;000001747;Орхидейница 13*15*1,0 голубая, стекло;108;108;108;голубой;15;1;13;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница Gorshki стекло;Gorshki;Нет;Украина;Нет;;000001748;Орхидейница 13*15*1,0 прозрачная, стекло;97;97;97;Прозрачный;15;1;13;есть в наличии
;;;;;Украина;;;000001751;Орхидейница 16*18*2,0 прозрачная, стекло;116;116;116;;;;;есть в наличии
;;;;;;;;000001825;Полесский субстрат для антуриумов 5л;0;0;0;;;;;Ожидается
;;;;;;;;000001875;Горшок Виктория 16*15*1,9 глянец фиолет,керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000001876;Горшок Виктория 18*16*2,5 глянец шоколад,керамика;0;0;0;;;;;Ожидается
;;;;;;;;000001877;Горшок Виктория 20*18*3,5 глянец зеленый, керамика;0;0;0;;;;;есть в наличии
;;;;;Украина;;;000001880;Орхидейница 16*18*2,0 салатовая, стекло;133;133;133;;;;;есть в наличии
;;;;;;;;000001897;Полесский субстрат Декор-лиственный 5л;0;0;0;;;;;есть в наличии
;;;;;Украина;;;000001967;Горшок гладкий 7,5*7*0,2 керамика;0;0;0;;;;;Ожидается
;;;;;;;;000001987;Горшок Ксения 5 26*24*7,5 люкс бронза,керамика;0;0;0;;;;;Ожидается
;;;;;;;;000001992;Горшок Магнолия 16*19*2,5 шелк,бордо,керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000001993;Горшок КС фиалка 16*9*1,0 глянец шоколад, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000001995;Горшок Ксения 3 20*16*3,0 глянец графит,керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000001996;Горшок Ксения 2 16*14*1,5 глянец графит,керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000001997;;0;0;0;;;;;есть в наличии
;;;;;;;;000001998;;0;0;0;;;;;есть в наличии
;;;;;;;;000001999;;0;0;0;;;;;есть в наличии
;;;;;;;;000002000;Горшок Магнолия 13*15*1,3 шелк, бордо,керамика;0;0;0;;;;;есть в наличии
;;;;;Украина;;;000002001;;0;0;0;;;;;Ожидается
;;;;;Украина;;;000002002;;0;0;0;;;;;Ожидается
;;;;;Украина;;;000002003;;0;0;0;;;;;есть в наличии
;;;;;Украина;;;000002004;;0;0;0;;;;;есть в наличии
;;;;;Украина;;;000002005;;0;0;0;;;;;есть в наличии
;;;;;Украина;;;000002009;Орхидейница 16*18*2,0 голубая, стекло;133;133;133;;;;;есть в наличии
;;;;;Украина;;;000002010;Орхидейница 16*18*2,0 желтая, стекло;133;133;133;;;;;есть в наличии
;;;;;Украина;;;000002011;Орхидейница 16*18*2,0 оранж, стекло;133;133;133;;;;;есть в наличии
;;;;;Украина;;;000002012;Орхидейница 16*18*2,0 розовая, стекло;133;133;133;;;;;есть в наличии
;;;;;Украина;;;000002013;Орхидейница 16*18*2,0 фиолетовая, стекло;133;133;133;;;;;есть в наличии
;;;;;Украина;;;000002014;Стимовит 0,5 для овощей;0;0;0;;;;;есть в наличии
;;;;;Украина;;;000002015;Стимовит 0,5 для овощей;15;15;15;;;;;есть в наличии
;;;;;;;;000002027;Горшок Ксения 6 32*29*13 глянець яркий желт, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002028;Горшок Ксения 6 32*29*13 глянець яркий фиолет, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002029;Горшок Ксения 6 32*29*13 глянець яркий зелен, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002030;Горшок Ксения 6 32*29*13 глянець яркий оранж, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002031;Грунт Универсальный Экофлора 20л;0;0;0;;;;;есть в наличии
;;;;;Украина;;;000002033;Пиала V 0,6 дымленая;0;0;0;;;;;Ожидается
;;;;;;;;000002064;Горшок Ксения 4 23*22*5,3 глянец яркий желтый, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002065;Горшок Ксения 4 23*22*5,3 глянец яркий зеленый, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002066;Горшок Ксения 4 23*22*5,3 глянец яркий оранж, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002067;Горшок Ксения 4 23*22*5,3 глянец яркий фиолет, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002068;Горшок КС 5 26*24*7,5 глянец яркий желтый, керамика;0;0;0;;;;;Ожидается
;;;;;;;;000002069;Горшок КС 5 26*24*7,5 глянец яркий зеленый, керамика;0;0;0;;;;;Ожидается
;;;;;;;;000002070;Горшок КС 5 26*24*7,5 глянец яркий оранж, керамика;0;0;0;;;;;Ожидается
;;;;;;;;000002071;Горшок КС 5 26*24*7,5 глянец яркий фиолет, керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002072;Горшок КС 7 33*30*15 глянец яркий желтый,керамика;0;0;0;;;;;Ожидается
;;;;;;;;000002073;Горшок КС 7 33*30*15 глянец яркий оранж,керамика;0;0;0;;;;;Ожидается
;;;;;;;;000002074;Горшок КС 7 33*30*15 глянец яркий зеленый,керамика;0;0;0;;;;;Ожидается
;;;;;;;;000002075;Горшок КС 7 33*30*15 глянец яркий фиолет,керамика;0;0;0;;;;;Ожидается
;;;;;;;;000002078;Горшок Магнолия 20*18*3,0 шелк,бордо,керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002083;Горшок Плошка 12*30*6 люкс бронза,керамика;0;0;0;;;;;Ожидается
;;;;;;;;000002110;;0;0;0;;;;;Ожидается
;;;;;;;;000002111;;11;11;11;;;;;есть в наличии
;;;;;;;;000002196;Грунт Универсальный Экофлора 7л;0;0;0;;;;;есть в наличии
;;;;;;;;000002199;Полесский субстрат Розсада 5л;0;0;0;;;;;есть в наличии
;;;;;;;;000002201;Горшок Ксения 8 глянец  молочний;0;0;0;;;;;есть в наличии
;;;;;;;;000002202;;0;0;0;;;;;Ожидается
;;;;;;;;000002401;Горшок Магнолия 16*19*2,5 шелк,беж,керамика;0;0;0;;;;;есть в наличии
;;;;;;;;000002429;;0;0;0;;;;;есть в наличии
